active,date,points_scored,plus_minus,team,location,opponent,outcome,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,game_score
True,2022-10-19,7,10,UTAH JAZZ,HOME,DENVER NUGGETS,WIN,1086,3,4,0,0,1,2,5,7,1,1,0,2,6,7.9
True,2022-10-21,4,12,UTAH JAZZ,AWAY,MINNESOTA TIMBERWOLVES,WIN,1492,2,5,0,0,0,2,4,10,4,4,0,3,5,8.1
True,2022-10-23,15,-4,UTAH JAZZ,AWAY,NEW ORLEANS PELICANS,WIN,1680,5,7,2,3,3,3,0,4,1,4,1,1,5,15.7
True,2022-10-24,13,-9,UTAH JAZZ,AWAY,HOUSTON ROCKETS,LOSS,1921,6,10,0,1,1,2,4,7,2,1,1,2,4,12.4
True,2022-10-26,6,7,UTAH JAZZ,HOME,HOUSTON ROCKETS,WIN,1145,3,7,0,1,0,0,2,6,2,0,0,1,6,3.5
True,2022-10-28,7,-16,UTAH JAZZ,AWAY,DENVER NUGGETS,LOSS,1699,3,7,0,0,1,2,0,7,2,0,1,1,2,5.3
True,2022-10-29,7,-4,UTAH JAZZ,HOME,MEMPHIS GRIZZLIES,WIN,1363,2,4,1,2,2,2,0,7,7,2,0,4,3,8.8
True,2022-10-31,7,-4,UTAH JAZZ,HOME,MEMPHIS GRIZZLIES,WIN,1339,3,5,1,2,0,0,2,5,5,1,1,2,4,9.2
True,2022-11-02,15,-4,UTAH JAZZ,AWAY,DALLAS MAVERICKS,LOSS,1980,6,10,1,1,2,2,3,3,3,1,1,2,0,15.2
True,2022-11-04,9,1,UTAH JAZZ,AWAY,LOS ANGELES LAKERS,WIN,1511,4,7,1,1,0,0,2,4,4,1,0,1,5,9.1
True,2022-11-09,6,-4,UTAH JAZZ,AWAY,ATLANTA HAWKS,WIN,1695,3,4,0,1,0,0,1,6,0,1,0,0,3,6.7
True,2022-11-12,7,-12,UTAH JAZZ,AWAY,WASHINGTON WIZARDS,LOSS,1049,3,6,1,2,0,0,4,4,1,1,0,1,2,7.9
