active,date,points_scored,plus_minus,team,location,opponent,outcome,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,game_score
True,2022-10-19,14,0,WASHINGTON WIZARDS,AWAY,INDIANA PACERS,WIN,1507,4,10,2,3,4,4,1,1,3,0,0,2,1,9.3
True,2022-10-21,6,-5,WASHINGTON WIZARDS,HOME,CHICAGO BULLS,WIN,1037,3,6,0,1,0,0,1,4,1,1,0,1,1,5.2
True,2022-10-23,9,-7,WASHINGTON WIZARDS,AWAY,CLEVELAND CAVALIERS,LOSS,2126,4,11,1,3,0,0,0,4,2,2,0,5,2,1.7
True,2022-10-25,16,18,WASHINGTON WIZARDS,HOME,DETROIT PISTONS,WIN,1750,6,9,4,6,0,0,0,2,4,2,1,1,2,16.4
True,2022-10-28,9,-7,WASHINGTON WIZARDS,HOME,INDIANA PACERS,LOSS,1744,3,6,3,5,0,0,0,2,3,0,0,1,2,6.9
True,2022-10-30,4,-16,WASHINGTON WIZARDS,AWAY,BOSTON CELTICS,LOSS,869,2,8,0,3,0,1,0,2,1,0,0,0,1,-0.3
True,2022-10-31,7,-17,WASHINGTON WIZARDS,HOME,PHILADELPHIA 76ERS,LOSS,1288,2,6,1,3,2,2,1,3,1,0,0,0,2,5.1
True,2022-11-02,11,3,WASHINGTON WIZARDS,AWAY,PHILADELPHIA 76ERS,WIN,1449,4,9,1,4,2,2,0,1,3,1,1,0,2,9.6
True,2022-11-04,3,-33,WASHINGTON WIZARDS,HOME,BROOKLYN NETS,LOSS,1143,1,7,1,4,0,0,0,3,3,1,0,1,0,1.5
True,2022-11-06,12,3,WASHINGTON WIZARDS,AWAY,MEMPHIS GRIZZLIES,LOSS,1424,5,12,1,5,1,1,0,4,5,0,0,0,2,9.5
True,2022-11-07,6,8,WASHINGTON WIZARDS,AWAY,CHARLOTTE HORNETS,WIN,1599,3,10,0,3,0,0,1,5,1,0,0,3,0,0.1
True,2022-11-10,14,7,WASHINGTON WIZARDS,HOME,DALLAS MAVERICKS,WIN,1736,4,12,3,7,3,3,1,6,4,0,1,2,1,10.8
True,2022-11-12,9,-6,WASHINGTON WIZARDS,HOME,UTAH JAZZ,WIN,983,3,7,1,5,2,2,0,2,1,0,1,1,1,5.9
True,2022-11-13,7,2,WASHINGTON WIZARDS,HOME,MEMPHIS GRIZZLIES,WIN,1361,3,9,1,4,0,0,1,4,3,1,0,1,0,5.9
True,2022-11-16,5,-17,WASHINGTON WIZARDS,HOME,OKLAHOMA CITY THUNDER,LOSS,986,2,5,1,2,0,0,0,1,2,0,0,0,2,3.2
True,2022-11-18,0,-11,WASHINGTON WIZARDS,HOME,MIAMI HEAT,WIN,493,0,2,0,1,0,0,0,1,0,0,0,0,0,-1.1
True,2022-11-20,3,-1,WASHINGTON WIZARDS,HOME,CHARLOTTE HORNETS,WIN,1244,1,6,1,2,0,0,0,1,2,0,2,0,0,2.3
True,2022-11-23,13,-10,WASHINGTON WIZARDS,AWAY,MIAMI HEAT,LOSS,1761,5,10,2,5,1,2,0,7,7,1,0,2,2,12.8
True,2022-11-25,5,4,WASHINGTON WIZARDS,AWAY,MIAMI HEAT,LOSS,969,1,8,1,5,2,2,0,3,4,1,0,1,1,3.1
True,2022-11-27,6,-2,WASHINGTON WIZARDS,AWAY,BOSTON CELTICS,LOSS,1852,2,8,0,4,2,3,0,4,2,1,0,1,1,3.0
True,2022-11-28,9,16,WASHINGTON WIZARDS,HOME,MINNESOTA TIMBERWOLVES,WIN,1102,3,6,1,1,2,2,0,3,2,3,0,0,1,10.9
True,2022-11-30,2,-2,WASHINGTON WIZARDS,AWAY,BROOKLYN NETS,LOSS,854,1,4,0,0,0,0,0,0,1,1,0,1,2,-0.5
True,2022-12-02,7,8,WASHINGTON WIZARDS,AWAY,CHARLOTTE HORNETS,LOSS,1239,3,5,1,3,0,0,0,4,1,0,0,1,2,4.8
True,2022-12-04,0,-2,WASHINGTON WIZARDS,HOME,LOS ANGELES LAKERS,LOSS,1331,0,5,0,3,0,0,0,1,5,0,1,0,0,1.0
True,2022-12-07,6,10,WASHINGTON WIZARDS,AWAY,CHICAGO BULLS,LOSS,1089,2,7,2,5,0,0,0,3,1,0,1,1,0,3.2
True,2022-12-12,22,4,WASHINGTON WIZARDS,HOME,BROOKLYN NETS,LOSS,1986,8,15,4,8,2,2,0,7,7,0,0,1,3,19.5
