active,date,points_scored,plus_minus,team,location,opponent,outcome,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,game_score
True,2022-10-19,23,8,WASHINGTON WIZARDS,AWAY,INDIANA PACERS,WIN,2251,9,17,2,7,3,3,2,3,6,0,1,3,2,18.1
True,2022-10-21,19,4,WASHINGTON WIZARDS,HOME,CHICAGO BULLS,WIN,2199,9,14,1,2,0,0,0,1,8,0,2,5,2,14.3
True,2022-10-23,27,-5,WASHINGTON WIZARDS,AWAY,CLEVELAND CAVALIERS,LOSS,2495,11,16,0,1,5,7,1,3,5,2,0,6,3,19.3
True,2022-10-25,13,5,WASHINGTON WIZARDS,HOME,DETROIT PISTONS,WIN,1309,4,9,1,4,4,4,1,3,6,0,0,2,2,11.3
True,2022-10-28,31,-10,WASHINGTON WIZARDS,HOME,INDIANA PACERS,LOSS,2233,11,18,2,5,7,7,2,5,4,3,1,2,3,29.0
True,2022-10-30,12,-13,WASHINGTON WIZARDS,AWAY,BOSTON CELTICS,LOSS,2242,4,16,2,7,2,2,0,1,8,1,1,1,0,9.0
True,2022-10-31,20,0,WASHINGTON WIZARDS,HOME,PHILADELPHIA 76ERS,LOSS,2271,7,18,2,6,4,4,0,5,6,0,1,4,3,11.4
True,2022-11-02,29,6,WASHINGTON WIZARDS,AWAY,PHILADELPHIA 76ERS,WIN,2190,11,17,1,2,6,7,0,2,5,0,0,1,2,23.4
True,2022-11-04,20,-19,WASHINGTON WIZARDS,HOME,BROOKLYN NETS,LOSS,1776,8,18,2,6,2,2,0,3,3,2,1,0,1,15.9
True,2022-11-16,25,10,WASHINGTON WIZARDS,HOME,OKLAHOMA CITY THUNDER,LOSS,2221,9,19,2,4,5,5,2,4,6,1,1,1,1,22.4
True,2022-11-18,27,10,WASHINGTON WIZARDS,HOME,MIAMI HEAT,WIN,2910,9,18,5,9,4,4,0,2,8,1,0,7,2,17.4
True,2022-11-20,26,4,WASHINGTON WIZARDS,HOME,CHARLOTTE HORNETS,WIN,2433,11,21,3,7,1,2,0,4,5,5,0,5,4,18.4
True,2022-11-25,28,-4,WASHINGTON WIZARDS,AWAY,MIAMI HEAT,LOSS,2268,11,20,4,7,2,3,2,3,5,1,3,1,3,24.7
True,2022-11-27,30,-28,WASHINGTON WIZARDS,AWAY,BOSTON CELTICS,LOSS,2087,11,19,0,3,8,9,1,4,4,2,0,2,1,25.0
True,2022-11-28,22,20,WASHINGTON WIZARDS,HOME,MINNESOTA TIMBERWOLVES,WIN,2048,9,14,1,4,3,3,0,1,5,2,0,3,3,17.4
True,2022-11-30,25,-2,WASHINGTON WIZARDS,AWAY,BROOKLYN NETS,LOSS,2321,9,20,1,6,6,9,3,2,6,0,0,5,0,15.3
True,2022-12-02,33,-10,WASHINGTON WIZARDS,AWAY,CHARLOTTE HORNETS,LOSS,2386,12,24,2,8,7,8,1,5,7,1,0,3,2,24.9
True,2022-12-04,2,-1,WASHINGTON WIZARDS,HOME,LOS ANGELES LAKERS,LOSS,209,1,1,0,0,0,0,0,1,0,0,0,0,0,2.0
True,2022-12-18,29,1,WASHINGTON WIZARDS,AWAY,LOS ANGELES LAKERS,LOSS,1899,9,17,0,3,11,13,1,1,3,0,0,3,3,18.8
True,2022-12-20,27,25,WASHINGTON WIZARDS,AWAY,PHOENIX SUNS,WIN,2117,8,20,0,2,11,14,2,4,6,1,1,2,1,21.1
True,2022-12-22,30,4,WASHINGTON WIZARDS,AWAY,UTAH JAZZ,LOSS,1865,13,20,0,3,4,4,1,4,5,0,0,2,2,23.8
True,2022-12-23,24,5,WASHINGTON WIZARDS,AWAY,SACRAMENTO KINGS,WIN,2053,10,16,2,4,2,3,0,1,4,1,0,3,2,16.7
True,2022-12-27,19,1,WASHINGTON WIZARDS,HOME,PHILADELPHIA 76ERS,WIN,1792,8,15,3,5,0,0,1,0,5,0,2,3,1,13.9
True,2023-01-03,8,4,WASHINGTON WIZARDS,AWAY,MILWAUKEE BUCKS,LOSS,798,3,7,0,1,2,2,1,0,4,2,0,2,0,7.8
True,2023-01-18,18,11,WASHINGTON WIZARDS,AWAY,NEW YORK KNICKS,WIN,1719,7,11,1,1,3,3,1,3,4,0,1,2,0,16.2
True,2023-01-21,17,-1,WASHINGTON WIZARDS,HOME,ORLANDO MAGIC,WIN,1669,7,14,2,3,1,1,1,3,8,0,0,1,3,15.0
True,2023-01-24,22,-2,WASHINGTON WIZARDS,AWAY,DALLAS MAVERICKS,WIN,1809,7,17,2,2,6,9,0,0,4,0,1,2,5,11.2
True,2023-01-25,17,-5,WASHINGTON WIZARDS,AWAY,HOUSTON ROCKETS,WIN,1779,7,17,0,3,3,4,0,3,4,0,0,2,0,9.2
True,2023-01-28,16,14,WASHINGTON WIZARDS,AWAY,NEW ORLEANS PELICANS,WIN,1951,5,17,2,6,4,5,1,3,5,0,1,5,1,6.1
True,2023-01-30,21,13,WASHINGTON WIZARDS,AWAY,SAN ANTONIO SPURS,WIN,1790,8,14,3,6,2,2,0,7,7,0,2,2,1,20.4
True,2023-02-03,34,0,WASHINGTON WIZARDS,HOME,PORTLAND TRAIL BLAZERS,LOSS,1938,14,25,4,10,2,2,3,0,1,0,0,1,3,22.7
