active,date,points_scored,plus_minus,team,location,opponent,outcome,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,game_score
True,2022-10-19,12,-2,WASHINGTON WIZARDS,AWAY,INDIANA PACERS,WIN,959,6,8,0,0,0,0,4,3,0,1,1,2,0,12.2
True,2022-10-21,2,-15,WASHINGTON WIZARDS,HOME,CHICAGO BULLS,WIN,1065,1,1,0,0,0,0,0,2,0,1,1,3,4,-0.6
True,2022-10-23,2,-11,WASHINGTON WIZARDS,AWAY,CLEVELAND CAVALIERS,LOSS,888,1,2,0,0,0,0,1,1,0,0,1,1,2,0.9
True,2022-10-25,9,19,WASHINGTON WIZARDS,HOME,DETROIT PISTONS,WIN,1188,4,6,0,0,1,2,1,4,1,0,2,0,2,9.2
True,2022-10-28,10,1,WASHINGTON WIZARDS,HOME,INDIANA PACERS,LOSS,896,3,4,0,0,4,5,2,2,0,0,0,1,2,8.2
True,2022-10-30,0,-16,WASHINGTON WIZARDS,AWAY,BOSTON CELTICS,LOSS,603,0,1,0,0,0,0,1,0,0,0,1,2,1,-1.7
True,2022-10-31,1,-12,WASHINGTON WIZARDS,HOME,PHILADELPHIA 76ERS,LOSS,639,0,2,0,0,1,2,0,2,1,1,0,3,2,-2.3
True,2022-11-02,10,2,WASHINGTON WIZARDS,AWAY,PHILADELPHIA 76ERS,WIN,675,4,5,0,0,2,5,2,0,1,1,1,0,0,10.7
True,2022-11-04,4,-13,WASHINGTON WIZARDS,HOME,BROOKLYN NETS,LOSS,620,2,2,0,0,0,0,0,1,0,0,1,1,1,3.0
True,2022-11-06,9,3,WASHINGTON WIZARDS,AWAY,MEMPHIS GRIZZLIES,LOSS,814,4,6,0,0,1,1,2,3,2,0,0,0,3,8.9
True,2022-11-07,5,5,WASHINGTON WIZARDS,AWAY,CHARLOTTE HORNETS,WIN,669,2,2,0,0,1,1,2,5,1,1,0,1,0,8.0
True,2022-11-10,11,11,WASHINGTON WIZARDS,HOME,DALLAS MAVERICKS,WIN,1486,3,3,0,0,5,6,2,8,0,0,4,1,3,14.1
True,2022-11-12,2,-11,WASHINGTON WIZARDS,HOME,UTAH JAZZ,WIN,859,1,1,0,0,0,0,1,1,1,0,1,0,0,4.1
True,2022-11-13,5,0,WASHINGTON WIZARDS,HOME,MEMPHIS GRIZZLIES,WIN,997,1,1,0,0,3,7,2,3,1,0,2,2,3,4.3
True,2022-11-16,2,-14,WASHINGTON WIZARDS,HOME,OKLAHOMA CITY THUNDER,LOSS,345,1,1,0,0,0,0,0,1,0,0,0,0,2,1.2
True,2022-11-18,0,-9,WASHINGTON WIZARDS,HOME,MIAMI HEAT,WIN,270,0,0,0,0,0,0,0,0,0,0,0,0,2,-0.8
True,2022-11-20,4,-3,WASHINGTON WIZARDS,HOME,CHARLOTTE HORNETS,WIN,478,1,2,0,0,2,2,1,2,0,0,1,2,1,2.6
True,2022-11-23,4,-10,WASHINGTON WIZARDS,AWAY,MIAMI HEAT,LOSS,596,2,4,0,0,0,0,2,4,0,1,0,1,3,3.4
True,2022-11-25,6,8,WASHINGTON WIZARDS,AWAY,MIAMI HEAT,LOSS,486,3,3,0,0,0,0,1,2,0,0,1,0,1,6.7
True,2022-11-27,4,13,WASHINGTON WIZARDS,AWAY,BOSTON CELTICS,LOSS,382,2,2,0,0,0,0,1,2,0,0,0,0,1,4.3
