active,date,points_scored,plus_minus,team,location,opponent,outcome,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,game_score
True,2022-10-25,0,1,WASHINGTON WIZARDS,HOME,DETROIT PISTONS,WIN,174,0,1,0,1,0,0,0,0,0,0,0,0,0,-0.7
True,2022-10-30,7,4,WASHINGTON WIZARDS,AWAY,BOSTON CELTICS,LOSS,313,3,4,1,2,0,0,0,1,0,0,0,0,0,5.7
True,2022-10-31,2,-3,WASHINGTON WIZARDS,HOME,PHILADELPHIA 76ERS,LOSS,161,0,0,0,0,2,2,0,0,0,0,0,0,1,1.6
True,2022-11-04,4,-5,WASHINGTON WIZARDS,HOME,BROOKLYN NETS,LOSS,463,1,3,0,0,2,2,0,3,0,0,0,0,1,2.8
True,2022-11-06,2,-11,WASHINGTON WIZARDS,AWAY,MEMPHIS GRIZZLIES,LOSS,213,1,2,0,1,0,0,1,0,1,0,0,0,0,2.4
True,2022-11-07,0,3,WASHINGTON WIZARDS,AWAY,CHARLOTTE HORNETS,WIN,310,0,1,0,0,0,0,1,0,2,1,0,1,1,1.0
True,2022-11-18,0,12,WASHINGTON WIZARDS,HOME,MIAMI HEAT,WIN,974,0,2,0,0,0,0,3,5,1,1,2,1,4,2.7
True,2022-11-20,2,2,WASHINGTON WIZARDS,HOME,CHARLOTTE HORNETS,WIN,350,1,3,0,1,0,0,1,1,0,0,0,0,2,0.5
True,2022-11-23,4,5,WASHINGTON WIZARDS,AWAY,MIAMI HEAT,LOSS,295,2,3,0,0,0,0,0,0,0,0,0,0,0,2.7
True,2022-11-27,12,7,WASHINGTON WIZARDS,AWAY,BOSTON CELTICS,LOSS,738,4,6,0,1,4,4,0,0,0,1,0,0,2,9.6
True,2022-12-02,0,-1,WASHINGTON WIZARDS,AWAY,CHARLOTTE HORNETS,LOSS,120,0,0,0,0,0,0,0,0,0,0,0,1,2,-1.8
True,2022-12-04,0,6,WASHINGTON WIZARDS,HOME,LOS ANGELES LAKERS,LOSS,509,0,0,0,0,0,0,0,2,0,1,0,0,1,1.2
True,2022-12-07,5,8,WASHINGTON WIZARDS,AWAY,CHICAGO BULLS,LOSS,610,2,3,1,2,0,2,1,2,0,0,0,1,1,2.8
True,2022-12-09,0,-3,WASHINGTON WIZARDS,AWAY,INDIANA PACERS,LOSS,539,0,3,0,0,0,0,0,0,0,0,0,0,2,-2.9
True,2022-12-10,0,-5,WASHINGTON WIZARDS,HOME,LOS ANGELES CLIPPERS,LOSS,164,0,0,0,0,0,0,0,0,0,0,0,1,0,-1.0
True,2022-12-12,0,-1,WASHINGTON WIZARDS,HOME,BROOKLYN NETS,LOSS,295,0,1,0,0,0,0,0,0,0,0,0,1,0,-1.7
True,2022-12-14,8,-11,WASHINGTON WIZARDS,AWAY,DENVER NUGGETS,LOSS,1077,2,5,1,3,3,4,1,1,2,2,1,0,6,7.6
True,2022-12-18,0,-7,WASHINGTON WIZARDS,AWAY,LOS ANGELES LAKERS,LOSS,226,0,1,0,0,0,0,0,0,1,0,0,0,0,0.0
True,2022-12-20,6,8,WASHINGTON WIZARDS,AWAY,PHOENIX SUNS,WIN,1116,2,2,0,0,2,2,0,2,1,2,1,1,5,6.4
True,2022-12-22,6,-3,WASHINGTON WIZARDS,AWAY,UTAH JAZZ,LOSS,1502,3,3,0,0,0,0,0,4,1,1,0,0,3,6.8
True,2022-12-23,8,3,WASHINGTON WIZARDS,AWAY,SACRAMENTO KINGS,WIN,784,4,6,0,1,0,2,1,1,0,0,0,2,6,1.2
True,2022-12-27,7,0,WASHINGTON WIZARDS,HOME,PHILADELPHIA 76ERS,WIN,863,3,4,0,0,1,1,2,1,2,0,1,1,4,6.6
True,2022-12-28,7,-2,WASHINGTON WIZARDS,HOME,PHOENIX SUNS,WIN,584,3,5,0,1,1,1,1,1,1,1,1,1,1,6.7
True,2023-01-09,4,-6,WASHINGTON WIZARDS,HOME,NEW ORLEANS PELICANS,LOSS,668,2,2,0,0,0,0,0,1,0,0,0,2,4,0.1
True,2023-01-11,9,6,WASHINGTON WIZARDS,HOME,CHICAGO BULLS,WIN,1475,3,7,0,1,3,5,3,5,3,1,1,0,2,11.1
True,2023-01-13,5,-5,WASHINGTON WIZARDS,HOME,NEW YORK KNICKS,LOSS,689,2,2,0,0,1,2,1,1,1,0,0,1,2,3.9
True,2023-01-18,0,0,WASHINGTON WIZARDS,AWAY,NEW YORK KNICKS,WIN,511,0,1,0,0,0,0,1,0,0,0,0,0,2,-0.8
True,2023-01-21,2,5,WASHINGTON WIZARDS,HOME,ORLANDO MAGIC,WIN,759,1,2,0,0,0,0,1,2,2,0,0,3,2,-0.1
True,2023-01-24,0,3,WASHINGTON WIZARDS,AWAY,DALLAS MAVERICKS,WIN,335,0,1,0,0,0,0,0,0,0,0,0,0,1,-1.1
True,2023-01-25,2,-3,WASHINGTON WIZARDS,AWAY,HOUSTON ROCKETS,WIN,507,1,2,0,0,0,0,1,0,1,1,0,0,3,2.2
