active,date,points_scored,plus_minus,team,location,opponent,outcome,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,game_score
True,2022-10-19,2,0,WASHINGTON WIZARDS,AWAY,INDIANA PACERS,WIN,926,1,3,0,1,0,0,0,2,0,0,1,0,3,0.4
True,2022-10-21,2,2,WASHINGTON WIZARDS,HOME,CHICAGO BULLS,WIN,637,1,1,0,0,0,0,0,1,1,0,0,0,2,1.9
True,2022-10-23,2,-9,WASHINGTON WIZARDS,AWAY,CLEVELAND CAVALIERS,LOSS,603,1,3,0,2,0,0,0,2,0,0,0,0,1,0.5
True,2022-10-25,2,7,WASHINGTON WIZARDS,HOME,DETROIT PISTONS,WIN,391,0,1,0,1,2,2,0,0,0,0,0,0,0,1.3
True,2022-10-28,3,3,WASHINGTON WIZARDS,HOME,INDIANA PACERS,LOSS,247,1,1,1,1,0,0,1,0,1,0,0,0,1,3.7
True,2022-10-30,10,8,WASHINGTON WIZARDS,AWAY,BOSTON CELTICS,LOSS,1121,4,6,0,1,2,2,3,2,2,1,0,0,2,11.7
True,2022-10-31,11,7,WASHINGTON WIZARDS,HOME,PHILADELPHIA 76ERS,LOSS,1559,5,10,1,3,0,0,2,2,2,0,0,2,0,7.4
True,2022-11-02,2,2,WASHINGTON WIZARDS,AWAY,PHILADELPHIA 76ERS,WIN,1003,1,1,0,0,0,0,0,2,0,0,0,0,2,1.5
True,2022-11-04,8,-16,WASHINGTON WIZARDS,HOME,BROOKLYN NETS,LOSS,1705,4,6,0,0,0,0,3,1,0,1,0,0,2,8.0
True,2022-11-06,0,6,WASHINGTON WIZARDS,AWAY,MEMPHIS GRIZZLIES,LOSS,156,0,0,0,0,0,0,0,0,1,1,0,0,1,1.3
True,2022-11-07,6,-10,WASHINGTON WIZARDS,AWAY,CHARLOTTE HORNETS,WIN,1019,2,3,0,0,2,2,1,0,1,0,0,0,3,4.9
True,2022-11-10,2,-7,WASHINGTON WIZARDS,HOME,DALLAS MAVERICKS,WIN,923,1,2,0,0,0,0,0,2,1,0,0,0,4,0.7
True,2022-11-12,0,-4,WASHINGTON WIZARDS,HOME,UTAH JAZZ,WIN,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
True,2022-11-23,2,2,WASHINGTON WIZARDS,AWAY,MIAMI HEAT,LOSS,751,1,1,0,0,0,0,0,1,0,1,2,2,2,1.6
True,2022-11-25,2,-1,WASHINGTON WIZARDS,AWAY,MIAMI HEAT,LOSS,775,1,1,0,0,0,0,1,2,1,0,1,0,0,4.4
True,2022-11-27,5,13,WASHINGTON WIZARDS,AWAY,BOSTON CELTICS,LOSS,890,1,2,0,1,3,5,1,2,0,0,0,0,2,3.7
True,2022-11-28,4,-13,WASHINGTON WIZARDS,HOME,MINNESOTA TIMBERWOLVES,WIN,677,2,5,0,1,0,0,1,1,0,0,0,0,1,1.9
True,2022-11-30,0,-4,WASHINGTON WIZARDS,AWAY,BROOKLYN NETS,LOSS,199,0,1,0,1,0,0,0,0,0,0,0,0,1,-1.1
True,2022-12-02,2,-4,WASHINGTON WIZARDS,AWAY,CHARLOTTE HORNETS,LOSS,281,0,0,0,0,2,2,1,0,0,0,0,0,2,1.9
True,2022-12-04,0,-3,WASHINGTON WIZARDS,HOME,LOS ANGELES LAKERS,LOSS,486,0,1,0,1,0,0,0,0,1,0,1,0,1,0.3
True,2022-12-07,0,3,WASHINGTON WIZARDS,AWAY,CHICAGO BULLS,LOSS,173,0,0,0,0,0,0,0,1,0,0,0,0,0,0.3
True,2022-12-09,0,1,WASHINGTON WIZARDS,AWAY,INDIANA PACERS,LOSS,120,0,0,0,0,0,0,0,0,1,0,0,0,0,0.7
True,2022-12-10,4,-8,WASHINGTON WIZARDS,HOME,LOS ANGELES CLIPPERS,LOSS,985,1,1,0,0,2,2,0,3,0,0,0,0,2,3.8
True,2022-12-12,0,-6,WASHINGTON WIZARDS,HOME,BROOKLYN NETS,LOSS,501,0,0,0,0,0,0,0,0,0,0,0,1,1,-1.4
True,2022-12-14,6,13,WASHINGTON WIZARDS,AWAY,DENVER NUGGETS,LOSS,707,3,4,0,1,0,0,1,1,1,1,0,0,1,6.7
True,2022-12-17,0,-1,WASHINGTON WIZARDS,AWAY,LOS ANGELES CLIPPERS,LOSS,510,0,0,0,0,0,0,0,0,0,0,0,0,1,-0.4
True,2022-12-22,3,8,WASHINGTON WIZARDS,AWAY,UTAH JAZZ,LOSS,191,1,1,0,0,1,2,0,1,0,0,0,0,0,2.6
True,2022-12-28,0,1,WASHINGTON WIZARDS,HOME,PHOENIX SUNS,WIN,118,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
True,2022-12-30,0,0,WASHINGTON WIZARDS,AWAY,ORLANDO MAGIC,WIN,150,0,0,0,0,0,0,0,0,1,0,0,0,1,0.3
True,2023-01-01,2,0,WASHINGTON WIZARDS,AWAY,MILWAUKEE BUCKS,WIN,183,1,1,0,0,0,0,0,0,0,0,0,0,2,0.9
