active,date,points_scored,plus_minus,team,location,opponent,outcome,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,game_score
True,2022-10-19,7,-6,WASHINGTON WIZARDS,AWAY,INDIANA PACERS,WIN,1440,3,7,1,1,0,0,1,4,0,0,1,3,2,2.1
True,2022-10-21,12,-17,WASHINGTON WIZARDS,HOME,CHICAGO BULLS,WIN,1439,4,9,0,2,4,4,1,3,1,0,0,2,0,7.6
True,2022-10-23,16,-5,WASHINGTON WIZARDS,AWAY,CLEVELAND CAVALIERS,LOSS,1219,7,12,2,3,0,0,1,2,1,0,0,1,1,11.0
True,2022-10-25,10,-5,WASHINGTON WIZARDS,HOME,DETROIT PISTONS,WIN,1608,4,8,0,1,2,2,0,4,1,0,0,1,0,6.9
True,2022-10-28,10,-19,WASHINGTON WIZARDS,HOME,INDIANA PACERS,LOSS,1499,3,7,0,1,4,6,1,4,0,0,1,1,2,6.3
True,2022-10-30,13,-17,WASHINGTON WIZARDS,AWAY,BOSTON CELTICS,LOSS,1348,5,12,1,4,2,4,3,6,3,0,1,1,1,11.1
True,2022-10-31,10,-18,WASHINGTON WIZARDS,HOME,PHILADELPHIA 76ERS,LOSS,1075,4,9,0,2,2,2,1,5,0,2,1,2,0,8.2
True,2022-11-02,10,14,WASHINGTON WIZARDS,AWAY,PHILADELPHIA 76ERS,WIN,1973,5,13,0,2,0,0,2,8,4,0,1,1,2,8.4
True,2022-11-04,2,-22,WASHINGTON WIZARDS,HOME,BROOKLYN NETS,LOSS,1061,1,5,0,1,0,0,0,2,0,0,1,1,1,-1.2
True,2022-11-06,15,0,WASHINGTON WIZARDS,AWAY,MEMPHIS GRIZZLIES,LOSS,1337,7,12,1,3,0,1,1,2,0,0,0,1,2,8.5
True,2022-11-07,16,10,WASHINGTON WIZARDS,AWAY,CHARLOTTE HORNETS,WIN,1578,6,12,0,0,4,7,0,3,0,0,1,2,1,8.0
True,2022-11-10,23,20,WASHINGTON WIZARDS,HOME,DALLAS MAVERICKS,WIN,1549,9,14,2,4,3,3,0,8,0,0,0,4,2,14.4
True,2022-11-12,11,-9,WASHINGTON WIZARDS,HOME,UTAH JAZZ,WIN,1712,5,12,1,4,0,0,0,4,1,0,1,1,1,5.8
True,2022-11-13,3,5,WASHINGTON WIZARDS,HOME,MEMPHIS GRIZZLIES,WIN,927,1,7,1,2,0,0,0,2,1,0,0,0,1,-0.6
True,2022-11-16,14,-3,WASHINGTON WIZARDS,HOME,OKLAHOMA CITY THUNDER,LOSS,1061,6,8,2,3,0,0,0,1,2,3,0,0,0,15.5
True,2022-11-18,13,-2,WASHINGTON WIZARDS,HOME,MIAMI HEAT,WIN,1705,6,11,1,3,0,0,1,7,3,0,0,1,2,10.8
True,2022-12-22,7,-4,WASHINGTON WIZARDS,AWAY,UTAH JAZZ,LOSS,1415,3,4,0,0,1,1,0,7,1,1,0,1,1,7.8
