active,date,points_scored,plus_minus,team,location,opponent,outcome,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,game_score
True,2022-10-19,22,7,WASHINGTON WIZARDS,AWAY,INDIANA PACERS,WIN,2070,8,19,3,10,3,5,1,12,2,0,2,2,4,14.6
True,2022-10-21,26,6,WASHINGTON WIZARDS,HOME,CHICAGO BULLS,WIN,2034,8,16,4,8,6,7,1,5,2,0,0,1,1,19.8
True,2022-10-23,11,-5,WASHINGTON WIZARDS,AWAY,CLEVELAND CAVALIERS,LOSS,2246,4,8,1,2,2,4,0,2,3,0,2,0,4,8.7
True,2022-10-25,25,23,WASHINGTON WIZARDS,HOME,DETROIT PISTONS,WIN,1644,9,17,0,5,7,8,0,6,1,0,1,3,4,14.9
True,2022-10-28,18,2,WASHINGTON WIZARDS,HOME,INDIANA PACERS,LOSS,2238,7,19,3,7,1,1,0,9,3,1,0,3,4,8.7
True,2022-10-30,9,-20,WASHINGTON WIZARDS,AWAY,BOSTON CELTICS,LOSS,1707,3,13,1,5,2,2,1,7,1,1,0,0,3,4.4
True,2022-10-31,9,6,WASHINGTON WIZARDS,HOME,PHILADELPHIA 76ERS,LOSS,1962,3,5,1,1,2,2,1,6,2,0,1,1,3,9.1
True,2022-11-02,18,2,WASHINGTON WIZARDS,AWAY,PHILADELPHIA 76ERS,WIN,1878,8,12,2,5,0,0,2,6,4,0,0,4,4,13.2
True,2022-11-04,19,-22,WASHINGTON WIZARDS,HOME,BROOKLYN NETS,LOSS,1423,5,12,3,8,6,8,0,5,2,0,0,1,2,12.9
True,2022-11-06,12,-5,WASHINGTON WIZARDS,AWAY,MEMPHIS GRIZZLIES,LOSS,2062,5,14,2,9,0,0,2,9,2,0,1,3,3,6.2
True,2022-11-07,20,10,WASHINGTON WIZARDS,AWAY,CHARLOTTE HORNETS,WIN,1885,9,16,1,3,1,5,0,6,1,0,1,2,0,12.0
True,2022-11-10,36,-2,WASHINGTON WIZARDS,HOME,DALLAS MAVERICKS,WIN,2472,14,26,5,11,3,3,2,9,6,1,0,4,2,27.9
True,2022-11-12,23,12,WASHINGTON WIZARDS,HOME,UTAH JAZZ,WIN,1990,8,19,1,7,6,7,1,7,6,0,0,4,2,14.7
True,2022-11-13,9,10,WASHINGTON WIZARDS,HOME,MEMPHIS GRIZZLIES,WIN,2065,4,13,1,7,0,1,1,10,3,0,0,4,1,2.5
True,2022-11-16,18,13,WASHINGTON WIZARDS,HOME,OKLAHOMA CITY THUNDER,LOSS,2336,7,15,3,8,1,1,2,8,9,1,0,7,3,13.2
True,2022-11-18,21,1,WASHINGTON WIZARDS,HOME,MIAMI HEAT,WIN,2428,9,24,2,12,1,3,0,8,5,1,0,4,2,9.1
True,2022-11-20,28,7,WASHINGTON WIZARDS,HOME,CHARLOTTE HORNETS,WIN,2266,10,19,4,9,4,5,1,9,5,0,0,4,2,20.4
True,2022-11-23,33,-9,WASHINGTON WIZARDS,AWAY,MIAMI HEAT,LOSS,2398,13,27,2,13,5,7,0,7,1,1,0,0,1,21.9
True,2022-11-25,28,-5,WASHINGTON WIZARDS,AWAY,MIAMI HEAT,LOSS,2332,11,22,3,10,3,3,3,4,5,1,0,3,2,21.0
True,2022-11-28,23,28,WASHINGTON WIZARDS,HOME,MINNESOTA TIMBERWOLVES,WIN,1855,9,16,4,7,1,2,1,7,9,0,0,0,4,22.5
True,2022-11-30,25,0,WASHINGTON WIZARDS,AWAY,BROOKLYN NETS,LOSS,2385,10,25,2,8,3,4,1,3,3,0,1,1,4,12.9
True,2022-12-02,14,-5,WASHINGTON WIZARDS,AWAY,CHARLOTTE HORNETS,LOSS,1974,6,14,2,5,0,0,0,4,3,0,1,1,2,8.8
True,2022-12-04,26,-10,WASHINGTON WIZARDS,HOME,LOS ANGELES LAKERS,LOSS,1934,10,21,1,7,5,6,3,4,4,2,1,6,6,15.3
True,2022-12-07,21,-12,WASHINGTON WIZARDS,AWAY,CHICAGO BULLS,LOSS,2275,8,18,2,5,3,4,0,5,1,2,0,3,1,12.0
True,2022-12-09,27,-13,WASHINGTON WIZARDS,AWAY,INDIANA PACERS,LOSS,2137,9,20,4,9,5,6,2,5,7,0,0,3,2,20.2
True,2022-12-10,35,-5,WASHINGTON WIZARDS,HOME,LOS ANGELES CLIPPERS,LOSS,2293,14,27,7,11,0,0,2,10,3,1,0,6,2,22.4
True,2022-12-12,20,-3,WASHINGTON WIZARDS,HOME,BROOKLYN NETS,LOSS,2341,8,21,4,10,0,4,2,5,3,0,1,4,2,7.8
True,2022-12-14,24,-24,WASHINGTON WIZARDS,AWAY,DENVER NUGGETS,LOSS,2147,9,16,4,8,2,6,0,2,4,0,0,3,4,13.6
True,2022-12-17,17,-9,WASHINGTON WIZARDS,AWAY,LOS ANGELES CLIPPERS,LOSS,2340,8,18,1,6,0,0,0,6,2,1,1,3,4,7.9
True,2022-12-18,22,-4,WASHINGTON WIZARDS,AWAY,LOS ANGELES LAKERS,LOSS,2393,9,18,3,9,1,2,2,14,2,1,1,3,3,17.1
True,2022-12-20,29,7,WASHINGTON WIZARDS,AWAY,PHOENIX SUNS,WIN,2208,10,19,5,10,4,6,0,6,6,2,0,2,0,24.9
True,2022-12-22,21,-21,WASHINGTON WIZARDS,AWAY,UTAH JAZZ,LOSS,2029,8,18,2,5,3,4,1,4,2,1,0,2,1,13.1
True,2022-12-23,32,11,WASHINGTON WIZARDS,AWAY,SACRAMENTO KINGS,WIN,2244,14,23,2,8,2,3,1,8,5,2,0,1,1,28.3
True,2022-12-27,14,11,WASHINGTON WIZARDS,HOME,PHILADELPHIA 76ERS,WIN,2258,4,13,2,9,4,5,0,8,1,0,0,4,1,4.8
True,2022-12-28,22,34,WASHINGTON WIZARDS,HOME,PHOENIX SUNS,WIN,2140,8,17,2,4,4,4,0,5,7,1,0,1,2,18.9
True,2022-12-30,23,14,WASHINGTON WIZARDS,AWAY,ORLANDO MAGIC,WIN,1872,9,16,4,8,1,2,0,5,6,0,1,8,1,13.0
True,2023-01-01,10,17,WASHINGTON WIZARDS,AWAY,MILWAUKEE BUCKS,WIN,2003,5,16,0,2,0,1,1,12,11,0,0,5,3,6.2
True,2023-01-03,20,-16,WASHINGTON WIZARDS,AWAY,MILWAUKEE BUCKS,LOSS,2058,10,28,0,6,0,0,1,3,2,0,2,2,1,6.4
True,2023-01-06,23,-15,WASHINGTON WIZARDS,AWAY,OKLAHOMA CITY THUNDER,LOSS,2240,7,14,2,5,7,8,1,4,7,1,0,6,3,16.2
True,2023-01-09,19,-15,WASHINGTON WIZARDS,HOME,NEW ORLEANS PELICANS,LOSS,1386,6,13,3,8,4,4,2,6,2,0,0,5,6,9.5
True,2023-01-11,21,11,WASHINGTON WIZARDS,HOME,CHICAGO BULLS,WIN,2264,9,20,1,4,2,3,0,4,3,0,0,2,3,10.3
True,2023-01-13,40,-1,WASHINGTON WIZARDS,HOME,NEW YORK KNICKS,LOSS,2405,14,27,4,10,8,9,1,6,7,0,1,3,2,30.6
True,2023-01-16,16,-15,WASHINGTON WIZARDS,HOME,GOLDEN STATE WARRIORS,LOSS,2406,5,20,4,12,2,4,3,8,5,1,0,6,2,5.4
