active,date,points_scored,plus_minus,team,location,opponent,outcome,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,game_score
True,2022-10-19,7,17,WASHINGTON WIZARDS,AWAY,INDIANA PACERS,WIN,1282,2,6,1,1,2,2,2,4,6,2,0,1,1,11.0
True,2022-10-21,9,5,WASHINGTON WIZARDS,HOME,CHICAGO BULLS,WIN,1587,4,8,1,3,0,0,0,4,3,1,1,0,0,10.0
True,2022-10-23,13,6,WASHINGTON WIZARDS,AWAY,CLEVELAND CAVALIERS,LOSS,1590,5,8,3,3,0,0,0,3,6,0,0,1,3,12.3
True,2022-10-25,9,19,WASHINGTON WIZARDS,HOME,DETROIT PISTONS,WIN,1778,3,8,1,4,2,4,1,5,6,0,0,0,3,9.0
True,2022-10-28,5,6,WASHINGTON WIZARDS,HOME,INDIANA PACERS,LOSS,1869,2,8,0,3,1,2,0,2,12,0,1,1,1,8.1
True,2022-10-30,3,-26,WASHINGTON WIZARDS,AWAY,BOSTON CELTICS,LOSS,1638,1,7,0,2,1,1,0,7,2,0,0,0,1,1.6
True,2022-10-31,19,6,WASHINGTON WIZARDS,HOME,PHILADELPHIA 76ERS,LOSS,2108,7,13,2,3,3,3,0,3,4,3,0,3,1,16.0
True,2022-11-02,6,-3,WASHINGTON WIZARDS,AWAY,PHILADELPHIA 76ERS,WIN,1440,2,5,0,3,2,3,0,1,6,1,0,0,0,8.4
True,2022-11-04,4,-23,WASHINGTON WIZARDS,HOME,BROOKLYN NETS,LOSS,1363,2,6,0,3,0,0,0,3,5,0,0,3,0,2.0
True,2022-11-06,18,-9,WASHINGTON WIZARDS,AWAY,MEMPHIS GRIZZLIES,LOSS,1989,7,12,2,5,2,2,0,0,1,1,0,0,1,13.7
True,2022-11-07,8,4,WASHINGTON WIZARDS,AWAY,CHARLOTTE HORNETS,WIN,1947,3,7,1,1,1,2,2,3,2,0,1,1,1,6.9
True,2022-11-10,6,-4,WASHINGTON WIZARDS,HOME,DALLAS MAVERICKS,WIN,1162,3,6,0,1,0,0,0,1,3,0,0,1,2,3.6
True,2022-11-12,5,15,WASHINGTON WIZARDS,HOME,UTAH JAZZ,WIN,1751,2,9,1,3,0,0,1,6,9,0,0,0,1,7.9
True,2022-11-13,10,3,WASHINGTON WIZARDS,HOME,MEMPHIS GRIZZLIES,WIN,1642,4,10,1,4,1,2,1,5,6,2,1,2,0,11.3
True,2022-11-16,11,24,WASHINGTON WIZARDS,HOME,OKLAHOMA CITY THUNDER,LOSS,1636,4,7,3,5,0,0,0,3,4,2,0,0,3,12.2
True,2022-11-18,6,1,WASHINGTON WIZARDS,HOME,MIAMI HEAT,WIN,1582,3,8,0,5,0,0,0,5,5,0,0,0,2,5.8
True,2022-11-27,16,-3,WASHINGTON WIZARDS,AWAY,BOSTON CELTICS,LOSS,1421,6,8,4,5,0,0,0,3,8,0,0,0,2,18.5
True,2022-11-28,7,29,WASHINGTON WIZARDS,HOME,MINNESOTA TIMBERWOLVES,WIN,1333,3,6,1,2,0,0,1,0,5,2,0,0,0,10.2
True,2022-11-30,4,-5,WASHINGTON WIZARDS,AWAY,BROOKLYN NETS,LOSS,1734,2,6,0,1,0,0,0,4,3,1,0,2,3,1.7
True,2022-12-02,12,1,WASHINGTON WIZARDS,AWAY,CHARLOTTE HORNETS,LOSS,1532,4,6,2,3,2,2,1,5,6,0,0,1,1,14.4
True,2022-12-04,14,-15,WASHINGTON WIZARDS,HOME,LOS ANGELES LAKERS,LOSS,1859,6,14,2,6,0,0,0,1,4,1,0,2,1,8.3
True,2022-12-07,17,-7,WASHINGTON WIZARDS,AWAY,CHICAGO BULLS,LOSS,2235,7,13,2,6,1,1,0,2,8,0,1,3,3,13.4
True,2022-12-09,7,-13,WASHINGTON WIZARDS,AWAY,INDIANA PACERS,LOSS,2069,3,9,1,4,0,0,0,2,5,0,0,1,3,3.8
True,2022-12-14,20,-1,WASHINGTON WIZARDS,AWAY,DENVER NUGGETS,LOSS,1650,7,11,4,7,2,3,0,0,7,1,0,0,3,19.4
True,2022-12-17,12,-6,WASHINGTON WIZARDS,AWAY,LOS ANGELES CLIPPERS,LOSS,1854,5,9,2,2,0,0,0,3,5,1,0,1,2,11.3
True,2022-12-18,7,-12,WASHINGTON WIZARDS,AWAY,LOS ANGELES LAKERS,LOSS,1736,3,10,1,5,0,0,0,2,4,1,0,0,3,4.4
True,2022-12-20,9,11,WASHINGTON WIZARDS,AWAY,PHOENIX SUNS,WIN,2183,4,10,1,2,0,1,1,1,3,3,1,0,0,10.0
True,2022-12-22,5,3,WASHINGTON WIZARDS,AWAY,UTAH JAZZ,LOSS,1816,2,5,1,3,0,1,0,4,4,0,0,2,1,3.5
True,2022-12-23,16,4,WASHINGTON WIZARDS,AWAY,SACRAMENTO KINGS,WIN,1969,4,7,2,5,6,6,0,2,5,3,0,0,1,19.4
