active,date,points_scored,plus_minus,team,location,opponent,outcome,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,game_score
True,2022-10-18,13,-19,LOS ANGELES LAKERS,AWAY,GOLDEN STATE WARRIORS,LOSS,1383,5,9,3,6,0,0,0,3,2,1,0,3,2,8.2
True,2022-10-20,0,-18,LOS ANGELES LAKERS,HOME,LOS ANGELES CLIPPERS,LOSS,661,0,7,0,4,0,0,0,2,2,0,1,1,1,-3.6
True,2022-10-23,0,-7,LOS ANGELES LAKERS,HOME,PORTLAND TRAIL BLAZERS,LOSS,582,0,3,0,3,0,0,0,0,1,0,0,2,3,-4.6
True,2022-10-26,9,9,LOS ANGELES LAKERS,AWAY,DENVER NUGGETS,LOSS,1145,4,12,1,4,0,0,0,4,1,0,0,3,1,0.7
True,2022-10-28,9,4,LOS ANGELES LAKERS,AWAY,MINNESOTA TIMBERWOLVES,LOSS,746,4,9,1,4,0,1,0,2,0,0,0,1,0,3.5
True,2022-10-30,3,4,LOS ANGELES LAKERS,HOME,DENVER NUGGETS,WIN,203,1,2,1,1,0,0,0,0,0,0,0,0,0,2.0
True,2022-11-04,0,-2,LOS ANGELES LAKERS,HOME,UTAH JAZZ,LOSS,77,0,2,0,0,0,0,0,0,0,0,0,0,0,-1.4
True,2022-11-06,0,-3,LOS ANGELES LAKERS,HOME,CLEVELAND CAVALIERS,LOSS,1102,0,5,0,4,0,0,1,2,2,1,0,1,0,-0.8
True,2022-11-07,18,-11,LOS ANGELES LAKERS,AWAY,UTAH JAZZ,LOSS,1607,7,11,2,4,2,2,0,1,1,0,0,3,0,11.1
True,2022-11-09,0,-16,LOS ANGELES LAKERS,AWAY,LOS ANGELES CLIPPERS,LOSS,752,0,4,0,2,0,0,0,0,3,0,0,1,1,-2.1
True,2022-11-13,0,-12,LOS ANGELES LAKERS,HOME,BROOKLYN NETS,WIN,636,0,4,0,3,0,0,0,1,2,0,0,0,2,-1.9
True,2022-11-18,10,5,LOS ANGELES LAKERS,HOME,DETROIT PISTONS,WIN,1001,4,4,2,2,0,0,0,1,1,0,0,1,1,8.4
True,2022-11-20,13,12,LOS ANGELES LAKERS,HOME,SAN ANTONIO SPURS,WIN,1243,4,8,3,6,2,2,0,3,2,0,0,4,0,7.3
True,2022-11-22,4,-2,LOS ANGELES LAKERS,AWAY,PHOENIX SUNS,LOSS,522,2,4,0,1,0,0,0,0,2,0,0,2,0,1.4
True,2022-11-25,9,-6,LOS ANGELES LAKERS,AWAY,SAN ANTONIO SPURS,WIN,930,3,9,1,5,2,2,0,1,1,0,0,1,0,3.9
