active,date,points_scored,plus_minus,team,location,opponent,outcome,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,game_score
True,2022-10-19,15,7,WASHINGTON WIZARDS,AWAY,INDIANA PACERS,WIN,1906,5,14,1,5,4,6,2,8,3,0,2,2,2,10.9
True,2022-10-21,14,17,WASHINGTON WIZARDS,HOME,CHICAGO BULLS,WIN,1728,6,13,2,5,0,0,0,3,2,1,2,1,6,8.6
True,2022-10-23,18,1,WASHINGTON WIZARDS,AWAY,CLEVELAND CAVALIERS,LOSS,2276,7,16,4,8,0,1,1,10,3,1,1,2,4,13.1
True,2022-10-25,20,1,WASHINGTON WIZARDS,HOME,DETROIT PISTONS,WIN,1518,8,13,2,4,2,2,4,3,2,0,0,3,5,14.2
True,2022-10-28,22,-13,WASHINGTON WIZARDS,HOME,INDIANA PACERS,LOSS,1856,7,13,2,4,6,7,2,4,1,1,0,2,4,16.0
True,2022-10-30,17,-4,WASHINGTON WIZARDS,AWAY,BOSTON CELTICS,LOSS,1675,8,16,0,4,1,2,7,6,1,0,2,3,3,13.2
True,2022-10-31,32,8,WASHINGTON WIZARDS,HOME,PHILADELPHIA 76ERS,LOSS,2080,10,17,3,7,9,9,4,5,3,2,0,0,3,31.3
True,2022-11-02,30,7,WASHINGTON WIZARDS,AWAY,PHILADELPHIA 76ERS,WIN,2064,9,13,1,4,11,11,0,9,3,1,3,1,1,31.0
True,2022-11-04,14,-17,WASHINGTON WIZARDS,HOME,BROOKLYN NETS,LOSS,1541,4,11,2,4,4,6,3,7,1,0,0,1,2,10.2
True,2022-11-06,10,2,WASHINGTON WIZARDS,AWAY,MEMPHIS GRIZZLIES,LOSS,1853,3,13,1,6,3,4,1,3,3,1,3,4,5,2.5
True,2022-11-07,19,3,WASHINGTON WIZARDS,AWAY,CHARLOTTE HORNETS,WIN,1846,6,14,1,6,6,8,1,7,5,0,1,1,4,15.2
True,2022-11-12,31,24,WASHINGTON WIZARDS,HOME,UTAH JAZZ,WIN,1956,12,20,4,8,3,5,1,9,2,1,2,1,0,27.2
True,2022-11-13,25,10,WASHINGTON WIZARDS,HOME,MEMPHIS GRIZZLIES,WIN,1883,7,15,6,10,5,6,3,3,2,2,2,2,4,21.1
True,2022-11-16,27,16,WASHINGTON WIZARDS,HOME,OKLAHOMA CITY THUNDER,LOSS,2188,8,15,4,7,7,9,2,7,4,1,1,2,1,24.5
True,2022-11-18,20,-2,WASHINGTON WIZARDS,HOME,MIAMI HEAT,WIN,2364,7,20,1,6,5,7,2,15,5,1,2,1,5,16.8
True,2022-11-20,12,5,WASHINGTON WIZARDS,HOME,CHARLOTTE HORNETS,WIN,2052,4,19,2,8,2,2,4,4,2,1,5,4,5,4.2
True,2022-11-23,21,-3,WASHINGTON WIZARDS,AWAY,MIAMI HEAT,LOSS,1989,8,19,2,9,3,6,1,8,4,0,0,3,5,10.6
True,2022-11-25,18,-6,WASHINGTON WIZARDS,AWAY,MIAMI HEAT,LOSS,2152,7,18,1,4,3,3,2,5,1,0,2,1,3,11.0
True,2022-11-27,21,-23,WASHINGTON WIZARDS,AWAY,BOSTON CELTICS,LOSS,1578,7,11,0,1,7,8,0,4,2,0,0,1,2,16.5
True,2022-11-28,41,13,WASHINGTON WIZARDS,HOME,MINNESOTA TIMBERWOLVES,WIN,1855,12,18,6,10,11,11,2,2,3,2,3,1,3,39.2
True,2022-11-30,27,-3,WASHINGTON WIZARDS,AWAY,BROOKLYN NETS,LOSS,2251,8,14,2,3,9,14,4,15,0,1,2,2,2,25.3
True,2022-12-02,21,1,WASHINGTON WIZARDS,AWAY,CHARLOTTE HORNETS,LOSS,2182,5,14,0,6,11,13,4,7,3,1,1,4,3,15.9
True,2022-12-04,27,-7,WASHINGTON WIZARDS,HOME,LOS ANGELES LAKERS,LOSS,2015,11,25,1,6,4,6,1,8,3,2,1,0,2,20.2
True,2022-12-07,28,-14,WASHINGTON WIZARDS,AWAY,CHICAGO BULLS,LOSS,2076,8,17,0,6,12,16,1,8,4,2,2,5,4,20.4
True,2022-12-09,29,-7,WASHINGTON WIZARDS,AWAY,INDIANA PACERS,LOSS,2079,11,13,1,2,6,8,2,7,2,0,2,4,1,25.4
True,2022-12-10,30,6,WASHINGTON WIZARDS,HOME,LOS ANGELES CLIPPERS,LOSS,2241,8,20,2,4,12,13,0,15,5,0,2,3,3,24.0
True,2022-12-12,20,-22,WASHINGTON WIZARDS,HOME,BROOKLYN NETS,LOSS,1445,7,11,0,1,6,6,0,3,1,2,1,5,2,13.6
True,2022-12-17,19,-10,WASHINGTON WIZARDS,AWAY,LOS ANGELES CLIPPERS,LOSS,2121,8,19,0,3,3,4,1,6,2,4,0,2,2,13.6
True,2022-12-18,21,5,WASHINGTON WIZARDS,AWAY,LOS ANGELES LAKERS,LOSS,2258,7,18,2,9,5,7,4,7,5,2,1,2,2,18.7
True,2022-12-23,7,9,WASHINGTON WIZARDS,AWAY,SACRAMENTO KINGS,WIN,2064,2,11,0,3,3,5,2,11,1,1,2,0,3,5.9
True,2022-12-27,24,14,WASHINGTON WIZARDS,HOME,PHILADELPHIA 76ERS,WIN,2078,7,15,3,5,7,9,3,7,1,2,3,2,2,21.7
True,2022-12-28,22,23,WASHINGTON WIZARDS,HOME,PHOENIX SUNS,WIN,2017,8,15,2,6,4,4,1,5,2,1,1,3,2,16.2
True,2022-12-30,30,32,WASHINGTON WIZARDS,AWAY,ORLANDO MAGIC,WIN,2112,9,13,3,6,9,11,2,11,2,1,4,5,4,27.0
True,2023-01-01,22,14,WASHINGTON WIZARDS,AWAY,MILWAUKEE BUCKS,WIN,1763,9,16,0,5,4,4,1,4,0,2,2,2,3,16.5
True,2023-01-03,22,-15,WASHINGTON WIZARDS,AWAY,MILWAUKEE BUCKS,LOSS,2099,7,13,2,5,6,6,1,8,4,1,1,3,5,18.3
True,2023-01-06,14,-17,WASHINGTON WIZARDS,AWAY,OKLAHOMA CITY THUNDER,LOSS,1489,3,11,0,2,8,10,3,7,0,0,0,3,0,7.9
True,2023-01-09,23,-2,WASHINGTON WIZARDS,HOME,NEW ORLEANS PELICANS,LOSS,2038,8,16,3,5,4,4,3,7,1,0,0,1,0,18.9
True,2023-01-13,21,-4,WASHINGTON WIZARDS,HOME,NEW YORK KNICKS,LOSS,2072,6,19,4,8,5,6,1,3,1,0,0,2,4,8.4
True,2023-01-16,32,-17,WASHINGTON WIZARDS,HOME,GOLDEN STATE WARRIORS,LOSS,2199,9,15,3,7,11,12,0,5,3,1,2,1,3,28.5
True,2023-01-18,22,8,WASHINGTON WIZARDS,AWAY,NEW YORK KNICKS,WIN,1972,6,17,4,9,6,6,5,6,5,0,2,3,6,17.3
True,2023-01-21,17,5,WASHINGTON WIZARDS,HOME,ORLANDO MAGIC,WIN,1379,3,10,1,3,10,10,1,5,0,0,1,2,2,11.3
True,2023-01-30,17,9,WASHINGTON WIZARDS,AWAY,SAN ANTONIO SPURS,WIN,1800,7,13,1,3,2,2,1,8,7,3,5,2,5,21.2
True,2023-02-03,32,1,WASHINGTON WIZARDS,HOME,PORTLAND TRAIL BLAZERS,LOSS,2112,9,15,3,6,11,12,0,8,4,0,1,1,5,27.6
True,2023-02-04,38,3,WASHINGTON WIZARDS,AWAY,BROOKLYN NETS,LOSS,1969,11,20,4,5,12,13,1,4,2,0,2,5,6,25.3
True,2023-02-06,18,-21,WASHINGTON WIZARDS,HOME,CLEVELAND CAVALIERS,LOSS,1571,7,13,1,6,3,3,1,6,1,0,1,2,3,12.4
True,2023-02-08,36,12,WASHINGTON WIZARDS,HOME,CHARLOTTE HORNETS,WIN,2103,13,22,8,14,2,3,2,7,2,0,2,1,2,29.9
True,2023-02-11,17,14,WASHINGTON WIZARDS,HOME,INDIANA PACERS,WIN,1936,4,8,1,3,8,8,4,6,5,0,1,0,2,21.0
True,2023-02-13,34,-14,WASHINGTON WIZARDS,AWAY,GOLDEN STATE WARRIORS,LOSS,2150,12,16,2,3,8,8,1,6,2,1,0,4,1,28.1
True,2023-02-14,28,14,WASHINGTON WIZARDS,AWAY,PORTLAND TRAIL BLAZERS,WIN,1770,10,15,1,3,7,7,3,9,5,0,1,4,5,24.5
True,2023-02-16,14,-2,WASHINGTON WIZARDS,AWAY,MINNESOTA TIMBERWOLVES,WIN,1917,4,12,1,3,5,7,0,5,2,2,2,0,3,11.5
True,2023-02-24,23,-16,WASHINGTON WIZARDS,HOME,NEW YORK KNICKS,LOSS,2119,5,10,5,9,8,8,1,5,3,0,2,3,2,19.9
True,2023-03-02,25,7,WASHINGTON WIZARDS,HOME,TORONTO RAPTORS,WIN,2151,8,12,2,4,7,7,1,4,2,1,2,4,4,19.9
True,2023-03-04,22,4,WASHINGTON WIZARDS,HOME,TORONTO RAPTORS,LOSS,2391,9,14,2,2,2,3,1,10,4,2,2,3,1,21.9
True,2023-03-05,24,11,WASHINGTON WIZARDS,HOME,MILWAUKEE BUCKS,LOSS,2176,11,29,1,8,1,1,5,8,5,0,2,1,4,16.3
True,2023-03-07,24,4,WASHINGTON WIZARDS,AWAY,DETROIT PISTONS,WIN,1900,8,15,3,7,5,6,4,3,2,0,0,1,6,18.0
True,2023-03-08,43,8,WASHINGTON WIZARDS,HOME,ATLANTA HAWKS,LOSS,2269,17,22,7,10,2,3,0,5,5,0,0,1,5,36.0
True,2023-03-10,22,2,WASHINGTON WIZARDS,HOME,ATLANTA HAWKS,LOSS,1913,8,18,3,7,3,5,0,9,0,1,2,2,4,13.3
True,2023-03-12,9,-23,WASHINGTON WIZARDS,AWAY,PHILADELPHIA 76ERS,LOSS,1507,4,15,0,3,1,2,1,5,1,1,2,1,4,2.4
True,2023-03-14,18,6,WASHINGTON WIZARDS,HOME,DETROIT PISTONS,WIN,1842,5,15,0,6,8,8,1,6,4,3,4,1,2,18.8
True,2023-03-17,20,-8,WASHINGTON WIZARDS,AWAY,CLEVELAND CAVALIERS,LOSS,1901,7,16,1,5,5,5,0,9,3,2,2,4,1,15.4
True,2023-03-21,30,6,WASHINGTON WIZARDS,AWAY,ORLANDO MAGIC,LOSS,2295,12,22,3,7,3,3,1,5,3,1,2,2,3,22.9
