active,date,points_scored,plus_minus,team,location,opponent,outcome,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,game_score
True,2022-10-19,8,-10,WASHINGTON WIZARDS,AWAY,INDIANA PACERS,WIN,1597,3,7,1,3,1,2,1,2,1,2,2,1,4,6.7
True,2022-10-21,6,-3,WASHINGTON WIZARDS,HOME,CHICAGO BULLS,WIN,1293,3,8,0,3,0,0,2,1,4,3,1,2,1,7.4
True,2022-10-23,7,-16,WASHINGTON WIZARDS,AWAY,CLEVELAND CAVALIERS,LOSS,1590,2,5,1,3,2,3,0,2,5,2,0,1,0,9.0
True,2022-10-25,5,2,WASHINGTON WIZARDS,HOME,DETROIT PISTONS,WIN,964,2,4,1,3,0,0,1,1,3,4,1,0,0,10.8
True,2022-12-23,2,10,WASHINGTON WIZARDS,AWAY,SACRAMENTO KINGS,WIN,911,0,1,0,0,2,2,0,1,8,1,0,0,2,7.4
True,2022-12-27,7,-2,WASHINGTON WIZARDS,HOME,PHILADELPHIA 76ERS,WIN,1028,2,5,1,3,2,3,0,0,1,3,0,0,1,7.2
True,2022-12-28,3,14,WASHINGTON WIZARDS,HOME,PHOENIX SUNS,WIN,929,1,3,0,2,1,1,0,1,3,3,0,2,1,4.3
True,2022-12-30,3,-2,WASHINGTON WIZARDS,AWAY,ORLANDO MAGIC,WIN,1065,1,4,1,2,0,0,1,3,5,0,0,0,0,5.7
True,2023-01-01,7,16,WASHINGTON WIZARDS,AWAY,MILWAUKEE BUCKS,WIN,1131,3,6,1,3,0,0,1,3,1,1,0,0,0,7.3
True,2023-01-03,4,-5,WASHINGTON WIZARDS,AWAY,MILWAUKEE BUCKS,LOSS,1012,1,6,0,2,2,2,1,2,2,3,0,0,1,5.5
True,2023-01-06,9,-4,WASHINGTON WIZARDS,AWAY,OKLAHOMA CITY THUNDER,LOSS,1160,3,5,0,2,3,3,0,2,4,2,0,1,1,10.7
True,2023-01-09,4,-8,WASHINGTON WIZARDS,HOME,NEW ORLEANS PELICANS,LOSS,1014,2,4,0,2,0,0,0,0,3,2,0,2,2,3.3
True,2023-01-11,4,-4,WASHINGTON WIZARDS,HOME,CHICAGO BULLS,WIN,1484,2,4,0,0,0,0,1,3,3,3,1,2,1,7.0
True,2023-01-13,6,14,WASHINGTON WIZARDS,HOME,NEW YORK KNICKS,LOSS,1473,2,7,1,4,1,1,2,6,1,0,0,1,3,3.6
